breach_type,data_exposed,records_affected,jurisdiction,user_impact_level,documents_available,proof_strength,past_case_similarity_score,legal_complexity_score,success_probability
tech,SSN,7027,EU,low,3,low,0.31030711579169745,0.9206281367107758,0.46149841478173625
retail,SSN,69228,EU,low,9,low,0.3991261004449661,0.09363289333362923,0.5137963142748414
healthcare,SSN,361750,Global,high,0,medium,0.2422571575847674,0.9550631871262365,0.7694505478276079
tech,full name,139981,Global,low,8,low,0.20348799455531252,0.6109263874834779,0.37500799712560984
tech,credit card,24816,EU,high,3,medium,0.9545538424175,0.001268076915490246,0.9301465819988385
retail,full name,6039,India,high,6,medium,0.9185216027705179,0.894007197916806,0.8380534988829029
healthcare,credit card,89004,EU,high,2,low,0.04699250100311747,0.5217118013669183,0.6104731346494557
healthcare,full name,48386,India,medium,9,high,0.33881302160484816,0.26266973533048454,0.6900316323879305
tech,full name,131977,India,medium,2,high,0.40514855367840663,0.7672791775156301,0.727502133238563
finance,password,78459,Global,low,7,high,0.23901453466594336,0.92666555388687,0.65574576039889
tech,full name,179711,India,high,7,medium,0.6288728969881755,0.4836908231467939,0.8446154690565967
tech,email,7551,EU,medium,0,medium,0.640380746644241,0.3155534744431109,0.5083393684958851
tech,password,307056,Global,medium,9,medium,0.8505042283285971,0.7889451239349268,0.7214786560547404
tech,full name,32702,US,medium,1,low,0.7408692683852178,0.6817854977884547,0.4137273187583713
retail,SSN,1397956,US,medium,7,medium,0.5425733269659556,0.8887524837502724,0.855585946868688
healthcare,email,5550,Global,medium,0,low,0.6535867700444199,0.692514012761193,0.35200903749565265
retail,email,709224,EU,high,7,low,0.2739887815430181,0.2435283388995363,0.6246331502236943
retail,email,32722,US,high,7,high,0.5930561899673576,0.931659249759019,0.9306588518103214
retail,password,5985,US,high,1,high,0.48922725474991924,0.10483574720599131,0.7538136843129066
tech,full name,8368,India,high,3,high,0.1333444673163704,0.26794275010684787,0.7555023073688335
finance,full name,11606,India,low,5,low,0.24254427658297073,0.5201946077238856,0.405301277149019
healthcare,SSN,51448,EU,high,8,low,0.29169345072158603,0.5657420260709014,0.7579658548500043
finance,SSN,62672,Global,medium,7,low,0.924309567052558,0.015310586626905431,0.8536752757550787
retail,email,6992,EU,high,7,medium,0.23038663938588944,0.78057272582094,0.847318094338978
retail,SSN,20979,Global,low,6,low,0.28924390281966816,0.3616073184253895,0.5970465400235474
finance,password,1598443,US,medium,8,high,0.3693541300894323,0.4064185410021378,0.6898563883170907
finance,full name,697380,India,high,1,high,0.663742738625387,0.8093695444369458,0.7766752308052879
