breach_type,data_exposed,records_affected,compensation_amount,case_type,jurisdiction,time_since_breach,user_impact_level,documents_available,proof_strength,prior_claims,location_match,severity_score,deadline_remaining_days,legal_complexity_score,similarity_to_past_cases,eligibility_label,success_probability
retail,credit_card,4258950,1736,settement,EU,16,low,0,medium,0,0,71.0,77,5,0.53,2,0.6067
healthcare,SSN,5512934,959,lawsuit,India,87,low,4,low,1,0,77.0,66,4,0.94,2,0.3932
finance,password,3652387,9388,lawsuit,India,163,high,3,high,0,0,38.0,159,2,0.74,1,0.7895
tech,credit_card,4955582,9217,settement,US,357,medium,1,high,0,1,74.0,148,3,0.48,1,0.527
healthcare,email,2239057,2204,lawsuit,EU,133,high,2,medium,0,0,31.0,161,5,0.03,1,0.425
tech,password,7387133,7666,breach,India,19,low,1,low,1,1,56.0,125,7,0.65,0,0.0
finance,SSN,1884376,3426,settement,EU,245,high,3,high,0,1,59.0,130,5,0.99,1,0.9913
finance,credit_card,286711,9054,breach,India,267,low,2,low,1,1,51.0,136,4,0.99,0,0.0
retail,credit_card,7557855,7932,breach,EU,139,medium,3,medium,0,1,87.0,22,9,0.89,2,0.6931
retail,SSN,6757350,3120,breach,US,115,medium,2,high,0,1,83.0,8,5,0.41,2,0.6412
finance,credit_card,3361492,9270,lawsuit,EU,59,high,2,high,0,1,66.0,10,4,0.96,2,0.5048
tech,credit_card,572107,2843,breach,EU,104,low,0,low,0,0,52.0,35,6,0.88,0,0.0
healthcare,password,3284616,2359,breach,India,134,high,5,low,1,1,36.0,72,8,0.3,1,0.4393
retail,credit_card,6479450,6780,settement,EU,87,high,3,medium,0,1,82.0,50,5,0.18,2,0.5608
healthcare,password,7868791,338,breach,EU,16,high,0,low,1,0,59.0,172,6,0.91,1,0.3752
finance,credit_card,5310792,162,breach,US,39,high,3,low,0,1,76.0,118,5,0.45,2,0.4825
tech,password,2415802,9012,settement,US,240,high,0,high,1,1,32.0,122,3,0.35,1,0.3217
tech,SSN,3835242,8619,breach,EU,62,medium,5,medium,0,0,69.0,12,5,0.3,2,0.4512
